source,target,weight,id
los%20angeles,summer,2,0
los%20angeles,currently,1,1
los%20angeles,mexican,1,2
los%20angeles,september,1,3
los%20angeles,1781,1,4
los%20angeles,over,2,5
los%20angeles,global,3,6
los%20angeles,rest,2,7
los%20angeles,founded,1,8
los%20angeles,area,3,9
los%20angeles,statistical,1,10
los%20angeles,research,1,11
los%20angeles,its,2,12
los%20angeles,before,1,13
los%20angeles,rapid,1,14
los%20angeles,1542,1,15
